gbifID;publisher;datasetID;datasetName;decimalLatitude;decimalLongitude;scientificName;publisher;coordinatePrecision;coordinateUncertaintyInMeters;datasetID;datasetName;decimalLatitude;decimalLongitude;geodeticDatum;scientificName
728754860;;;;39.2924;-1.11;Anthyllis cytisoides L.;;25;;;;;;;Anthyllis cytisoides L.
728763635;;;;39.5376;-0.7194;Anthyllis cytisoides L.;;25;;;;;;;Anthyllis cytisoides L.
728765981;;;;39.1394;-0.6282;Anthyllis cytisoides L.;;25;;;;;;;Anthyllis cytisoides L.
728766278;;;;39.0385;-0.5391;Anthyllis cytisoides L.;;25;;;;;;;Anthyllis cytisoides L.
728819279;;;;39.5408;2.4763;Anthyllis cytisoides L.;;25;;;;;;;Anthyllis cytisoides L.
728886299;;;;43.1808;-8.8031;Anthyllis cytisoides L.;;25;;;;;;;Anthyllis cytisoides L.
728404334;;;;41.7574;2.591;Anthyllis cytisoides L.;;25;;;;;;;Anthyllis cytisoides L.
728419811;;;;36.8924;-3.0673;Anthyllis cytisoides L.;;25;;;;;;;Anthyllis cytisoides L.
728433572;;;;40.7819;-2.1112;Anthyllis cytisoides L.;;25;;;;;;;Anthyllis cytisoides L.
728434757;;;;39.3223;-1.2947;Anthyllis cytisoides L.;;25;;;;;;;Anthyllis cytisoides L.
728444789;;;;38.3884;-1.5344;Anthyllis cytisoides L.;;25;;;;;;;Anthyllis cytisoides L.
728447726;;;;38.4026;-2.038;Anthyllis cytisoides L.;;25;;;;;;;Anthyllis cytisoides L.
728576792;;;;38.6791;-0.1837;Anthyllis cytisoides L.;;25;;;;;;;Anthyllis cytisoides L.
728578013;;;;38.5839;-0.7843;Anthyllis cytisoides L.;;25;;;;;;;Anthyllis cytisoides L.
728580056;;;;38.5841;-0.3596;Anthyllis cytisoides L.;;25;;;;;;;Anthyllis cytisoides L.
728580614;;;;38.5383;-0.3268;Anthyllis cytisoides L.;;25;;;;;;;Anthyllis cytisoides L.
728580911;;;;38.5195;-0.2931;Anthyllis cytisoides L.;;25;;;;;;;Anthyllis cytisoides L.
728581475;;;;38.4787;-0.948;Anthyllis cytisoides L.;;25;;;;;;;Anthyllis cytisoides L.
728581541;;;;38.4691;-0.9139;Anthyllis cytisoides L.;;25;;;;;;;Anthyllis cytisoides L.
728583392;;;;38.5358;-0.8661;Anthyllis cytisoides L.;;25;;;;;;;Anthyllis cytisoides L.
728583419;;;;38.5235;-0.9295;Anthyllis cytisoides L.;;25;;;;;;;Anthyllis cytisoides L.
728585570;;;;38.5528;-0.1772;Anthyllis cytisoides L.;;25;;;;;;;Anthyllis cytisoides L.
728585699;;;;38.4327;-0.892;Anthyllis cytisoides L.;;25;;;;;;;Anthyllis cytisoides L.
728586032;;;;38.4213;-0.7664;Anthyllis cytisoides L.;;25;;;;;;;Anthyllis cytisoides L.
728586263;;;;38.3045;-0.7814;Anthyllis cytisoides L.;;25;;;;;;;Anthyllis cytisoides L.
728586986;;;;38.4863;-1.4407;Anthyllis cytisoides L.;;25;;;;;;;Anthyllis cytisoides L.
728587190;;;;38.4983;-1.0392;Anthyllis cytisoides L.;;25;;;;;;;Anthyllis cytisoides L.
728587451;;;;38.4099;-1.1446;Anthyllis cytisoides L.;;25;;;;;;;Anthyllis cytisoides L.
728588540;;;;38.3083;-1.6161;Anthyllis cytisoides L.;;25;;;;;;;Anthyllis cytisoides L.
728589695;;;;38.3092;-1.0443;Anthyllis cytisoides L.;;25;;;;;;;Anthyllis cytisoides L.
728593418;;;;38.089;-1.3808;Anthyllis cytisoides L.;;25;;;;;;;Anthyllis cytisoides L.
728593454;;;;38.0849;-1.1073;Anthyllis cytisoides L.;;25;;;;;;;Anthyllis cytisoides L.
728596031;;;;37.8968;-1.1803;Anthyllis cytisoides L.;;25;;;;;;;Anthyllis cytisoides L.
728596064;;;;37.8878;-1.1805;Anthyllis cytisoides L.;;25;;;;;;;Anthyllis cytisoides L.
728596424;;;;37.8302;-1.5796;Anthyllis cytisoides L.;;25;;;;;;;Anthyllis cytisoides L.
728596688;;;;37.6542;-1.9911;Anthyllis cytisoides L.;;25;;;;;;;Anthyllis cytisoides L.
728596754;;;;37.6491;-1.5038;Anthyllis cytisoides L.;;25;;;;;;;Anthyllis cytisoides L.
