"Species","lon","lat"
"Anthyllis cytisoides",-1.11,39.2924
"Anthyllis cytisoides",-0.5391,39.0385
"Anthyllis cytisoides",2.4763,39.5408
"Anthyllis cytisoides",-8.8031,43.1808
"Anthyllis cytisoides",2.591,41.7574
"Anthyllis cytisoides",-2.1112,40.7819
"Anthyllis cytisoides",-1.2947,39.3223
"Anthyllis cytisoides",-2.038,38.4026
"Anthyllis cytisoides",-0.7843,38.5839
"Anthyllis cytisoides",-0.3596,38.5841
"Anthyllis cytisoides",-0.3268,38.5383
"Anthyllis cytisoides",-0.2931,38.5195
"Anthyllis cytisoides",-0.8661,38.5358
"Anthyllis cytisoides",-0.1772,38.5528
"Anthyllis cytisoides",-0.7664,38.4213
"Anthyllis cytisoides",-0.7814,38.3045
"Anthyllis cytisoides",-1.0392,38.4983
"Anthyllis cytisoides",-1.0443,38.3092
"Anthyllis cytisoides",-1.3808,38.089
"Anthyllis cytisoides",-1.1073,38.0849
"Anthyllis cytisoides",-1.1803,37.8968
"Anthyllis cytisoides",-1.1805,37.8878
"Anthyllis cytisoides",-1.5796,37.8302
"Anthyllis cytisoides",-1.9911,37.6542
"Anthyllis cytisoides",-1.5038,37.6491
"Anthyllis cytisoides",-2.0916,37.7812
"Anthyllis cytisoides",-2.1503,37.6104
"Anthyllis cytisoides",-2.5943,37.2072
"Anthyllis cytisoides",-2.5147,37.3241
"Anthyllis cytisoides",-2.4695,37.3239
"Anthyllis cytisoides",0.5718,41.075
"Anthyllis cytisoides",0.61,41.07
"Anthyllis cytisoides",-2.77,36.95
"Anthyllis cytisoides",-5.79,36.56
"Anthyllis cytisoides",-0.91,39.28
"Anthyllis cytisoides",-0.82,38.28
"Anthyllis cytisoides",-0.94,38.01
"Anthyllis cytisoides",-0.94,38.19
"Anthyllis cytisoides",-1.17,37.93
"Anthyllis cytisoides",-3.67,36.95
"Anthyllis cytisoides",-3.22,36.77
"Anthyllis cytisoides",0.01,38.63
"Anthyllis cytisoides",0.12,38.72
"Anthyllis cytisoides",-0.93,38.56
"Anthyllis cytisoides",0.38,40.89
"Anthyllis cytisoides",-1.87,37.13
"Anthyllis cytisoides",-1.14,39.19
"Anthyllis cytisoides",-1.39,38.29
"Anthyllis cytisoides",-1.18,37.66
"Anthyllis cytisoides",-6.02827,36.3113
"Anthyllis cytisoides",-5.27627,37.84083
"Anthyllis cytisoides",-3.6226,37.04547
"Anthyllis cytisoides",-2.58423,37.09233
"Anthyllis cytisoides",-3.64209,37.64617
"Anthyllis cytisoides",-3.33039,37.7627
"Anthyllis cytisoides",-2.53663,36.9036
"Anthyllis cytisoides",-2.02162,37.24286
"Anthyllis cytisoides",-2.44224,37.07586
"Anthyllis cytisoides",-2.99248,36.88984
"Anthyllis cytisoides",-2.08749,37.34939
"Anthyllis cytisoides",-3.51359,36.76445
"Anthyllis cytisoides",-2.25116,37.31564
"Anthyllis cytisoides",-3.37619,38.31255
"Anthyllis cytisoides",-2.17301,37.00121
"Anthyllis cytisoides",-1.74081,37.30604
"Anthyllis cytisoides",-2.02563,37.17218
"Anthyllis cytisoides",-1.85613,37.08767
"Anthyllis cytisoides",-1.99921,37.2046
"Anthyllis cytisoides",-2.17095,37.31567
"Anthyllis cytisoides",-2.45056,37.09774
"Anthyllis cytisoides",-2.43933,37.10716
"Anthyllis cytisoides",-2.16796,37.52444
"Anthyllis cytisoides",-2.04735,37.27066
"Anthyllis cytisoides",-2.69253,36.85345
"Anthyllis cytisoides",-2.65218,36.98717
"Anthyllis cytisoides",-2.1013,37.50066
"Anthyllis cytisoides",-2.42022,37.41699
"Anthyllis cytisoides",-2.38406,37.1801
"Anthyllis cytisoides",-2.22609,37.15796
"Anthyllis cytisoides",-2.16,36.73
"Anthyllis cytisoides",-0.355,39.788
"Anthyllis cytisoides",-0.38,39.68
"Anthyllis cytisoides",-0.12,40.21
"Anthyllis cytisoides",-1.19,39.78
"Anthyllis cytisoides",-0.28,39.04
"Anthyllis cytisoides",-0.51,38.47
"Anthyllis cytisoides",-2.4,36.99
"Anthyllis cytisoides",-4.41,37.44
"Anthyllis cytisoides",-1.09068,39.14791
"Anthyllis cytisoides",-0.63117,39.04938
"Anthyllis cytisoides",-0.97245,39.23601
"Anthyllis cytisoides",-0.6519,38.41911
"Anthyllis cytisoides",-0.53439,38.5068
"Anthyllis cytisoides",-0.53132,38.59683
"Anthyllis cytisoides",-0.4166,38.59435
"Anthyllis cytisoides",-0.07254,38.58625
"Anthyllis cytisoides",-0.61595,39.49953
"Anthyllis cytisoides",-0.37338,39.76455
"Anthyllis cytisoides",-0.24959,39.94183
"Anthyllis cytisoides",0.12133,40.20894
"Anthyllis cytisoides",-0.96198,39.5962
"Anthyllis cytisoides",-1.00519,38.06522
"Anthyllis cytisoides",-1.00028,38.24536
"Anthyllis cytisoides",-0.53746,38.41676
"Anthyllis cytisoides",-0.30526,38.50174
"Anthyllis cytisoides",-0.89385,37.97316
"Anthyllis cytisoides",-0.49653,39.5871
"Anthyllis cytisoides",-0.78008,37.97107
"Anthyllis cytisoides",-0.89127,38.06323
"Anthyllis cytisoides",0.18015,38.76907
"Anthyllis cytisoides",-0.78279,37.88101
"Anthyllis cytisoides",-1.20175,39.32988
"Anthyllis cytisoides",-0.72923,39.59188
"Anthyllis cytisoides",-0.72628,39.68192
"Anthyllis cytisoides",-0.49328,39.67712
"Anthyllis cytisoides",-0.12513,40.11897
"Anthyllis cytisoides",-0.24234,40.12181
"Anthyllis cytisoides",-1.1,38.1
"Anthyllis cytisoides",-3.1,37.1
"Anthyllis cytisoides",-5.91978,36.21641
"Anthyllis cytisoides",-0.33,39.82
"Anthyllis cytisoides",-2.68289,37.0863
"Anthyllis cytisoides",-0.539,39.539
"Anthyllis cytisoides",-0.25677,39.76185
"Anthyllis cytisoides",-0.60666,39.76959
"Anthyllis cytisoides",-0.41982,38.50433
"Anthyllis cytisoides",-0.61287,39.58955
"Anthyllis cytisoides",0.03328,40.1162
"Anthyllis cytisoides",-0.61902,39.4095
"Anthyllis cytisoides",-1.20634,39.14975
"Anthyllis cytisoides",-0.49976,39.49709
"Anthyllis cytisoides",-1.07337,39.77828
"Anthyllis cytisoides",-0.40027,39.04446
"Anthyllis cytisoides",-0.75234,38.87159
"Anthyllis cytisoides",-0.76079,38.60145
"Anthyllis cytisoides",-0.24597,40.03183
"Anthyllis cytisoides",-0.64898,38.50915
"Anthyllis cytisoides",-0.76358,38.5114
"Anthyllis cytisoides",-0.26033,39.67185
"Anthyllis cytisoides",-0.60353,39.85962
"Anthyllis cytisoides",-0.62512,39.22944
"Anthyllis cytisoides",-1.07086,39.86833
"Anthyllis cytisoides",-0.50298,39.40707
"Anthyllis cytisoides",-0.48014,40.03716
"Anthyllis cytisoides",-0.50937,39.22702
"Anthyllis cytisoides",-0.8428,39.68414
"Anthyllis cytisoides",-0.83999,39.77417
"Anthyllis cytisoides",-0.72332,39.77194
"Anthyllis cytisoides",-0.36995,39.85455
"Anthyllis cytisoides",-0.42303,38.4143
"Anthyllis cytisoides",0.02939,40.29618
"Anthyllis cytisoides",-0.74088,39.23175
"Anthyllis cytisoides",0.34195,40.57452
"Anthyllis cytisoides",-0.88346,38.33342
"Anthyllis cytisoides",-1.11215,38.33732
"Anthyllis cytisoides",-0.12892,40.02898
"Anthyllis cytisoides",-3.7062,36.8001
"Anthyllis cytisoides",-1.946,38.4289
"Anthyllis cytisoides",-4.7963,36.9239
"Anthyllis cytisoides",-0.9235,38.5324
"Anthyllis cytisoides",-0.2796,38.5732
"Anthyllis cytisoides",-0.4876,38.5328
"Anthyllis cytisoides",-0.2928,38.5285
"Anthyllis cytisoides",-0.3049,38.5107
"Anthyllis cytisoides",-0.9363,38.4875
"Anthyllis cytisoides",-0.1428,38.5519
"Anthyllis cytisoides",-0.8239,38.4134
"Anthyllis cytisoides",-1.3981,38.3416
"Anthyllis cytisoides",-1.2395,38.2762
"Anthyllis cytisoides",-1.2171,38.2579
"Anthyllis cytisoides",-1.6197,38.1191
"Anthyllis cytisoides",-1.3796,38.1431
"Anthyllis cytisoides",-1.4488,38.108
"Anthyllis cytisoides",-1.2601,37.889
"Anthyllis cytisoides",-1.4144,37.5848
"Anthyllis cytisoides",-2.0565,37.8621
"Anthyllis cytisoides",-2.5259,37.3421
"Anthyllis cytisoides",-2.4238,37.4048
"Anthyllis cytisoides",-2.2995,37.4041
"Anthyllis cytisoides",-2.5491,37.225
"Anthyllis cytisoides",-2.3931,36.999
"Anthyllis cytisoides",-0.1331,40.2092
"Anthyllis cytisoides",2.4648,39.5318
"Anthyllis cytisoides",2.9884,39.3438
"Anthyllis cytisoides",0.9837,41.227
"Anthyllis cytisoides",0.9422,41.0281
"Anthyllis cytisoides",-4.7272,40.2048
"Anthyllis cytisoides",-0.7609,39.6916
"Anthyllis cytisoides",-0.3197,39.9435
"Anthyllis cytisoides",-1.1788,39.3205
"Anthyllis cytisoides",-3.67,37.58
"Anthyllis cytisoides",-2.66,36.86
"Anthyllis cytisoides",-1.14,39.1
"Anthyllis cytisoides",-0.13,38.54
"Anthyllis cytisoides",-1.75,37.67
"Anthyllis cytisoides",-4.02,37.76
"Anthyllis cytisoides",2.41,39.56
"Anthyllis cytisoides",-1.52,37.84
"Anthyllis cytisoides",-0.36,38.54
"Anthyllis cytisoides",0.86,40.99
"Anthyllis cytisoides",-1.37,39.28
"Anthyllis cytisoides",-4.12,36.86
"Anthyllis cytisoides",-0.04,40.07
"Anthyllis cytisoides",1.2,41.26
"Anthyllis cytisoides",-1.85,38.39
"Anthyllis cytisoides",-1.454,37.6
"Anthyllis cytisoides",-0.18721,38.58906
"Anthyllis cytisoides",0.12514,40.11897
"Anthyllis cytisoides",-0.3019,38.59176
"Anthyllis cytisoides",-1.87446,37.03882
"Anthyllis cytisoides",-2.09722,36.79205
"Anthyllis cytisoides",-2.14991,37.36489
"Anthyllis cytisoides",-2.30418,37.50189
"Anthyllis cytisoides",-2.41312,37.06114
"Anthyllis cytisoides",-2.2823,36.85297
"Anthyllis cytisoides",-1.97326,37.43061
"Anthyllis cytisoides",-2.99852,38.06552
"Anthyllis cytisoides",-3.12141,36.81094
"Anthyllis cytisoides",-3.07217,36.77551
"Anthyllis cytisoides",-2.6174,36.83924
"Anthyllis cytisoides",-1.80428,37.3037
"Anthyllis cytisoides",-1.9972,37.19213
"Anthyllis cytisoides",-1.72232,37.31161
